sample	contig	taxid	name
SRR6145058	k99_6862	1747	Cutibacterium acnes
SRR6145058	k99_12004	1747	Cutibacterium acnes
SRR6145058	k99_10634	1747	Cutibacterium acnes
SRR6145058	k99_4341	9606	Homo sapiens
SRR6145058	k99_9067	9606	Homo sapiens
SRR6145058	k99_2828	1747	Cutibacterium acnes
SRR6145058	k99_8364	1747	Cutibacterium acnes
SRR6145058	k99_11502	1747	Cutibacterium acnes
SRR6145058	k99_11451	1747	Cutibacterium acnes
SRR6145058	k99_7685	1747	Cutibacterium acnes
SRR6145058	k99_11808	1747	Cutibacterium acnes
SRR6145058	k99_5083	1747	Cutibacterium acnes
SRR6145058	k99_7866	1747	Cutibacterium acnes
SRR6145058	k99_2448	1747	Cutibacterium acnes
SRR6145058	k99_11629	1747	Cutibacterium acnes
SRR6145058	k99_7227	1747	Cutibacterium acnes
SRR6145058	k99_8114	1747	Cutibacterium acnes
SRR6145058	k99_4344	1747	Cutibacterium acnes
SRR6145058	k99_814	1747	Cutibacterium acnes
SRR6145058	k99_998	1747	Cutibacterium acnes
SRR6145058	k99_5527	1747	Cutibacterium acnes
SRR6145058	k99_11020	1747	Cutibacterium acnes
SRR6145058	k99_5977	1747	Cutibacterium acnes
